pkts,bytes,dur,average_dur,stddev_dur,total_dur,min_dur,max_dur,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPSrcIP,TnBPDstIP,TnP_PSrcIP,TnP_PDstIP,TnP_PerProto,TnP_Per_Dport,AR_P_Proto_P_SrcIP,AR_P_Proto_P_DstIP,N_IN_Conn_P_DstIP,N_IN_Conn_P_SrcIP,AR_P_Proto_P_Sport,AR_P_Proto_P_Dport,Pkts_P_State_P_Protocol_P_DestIP,Pkts_P_State_P_Protocol_P_SrcIP,attack
15,900,13.962305,3.984334,1.414698,11.953003,1.983671,4.992765,15,0,900,0,1.0027,1.0027,0.0,89280,89280,1488,1488,1488,1488,1.06575,1.06575,100,100,1.0743200000000002,1.06575,1488,1488,1
6,548,11.787623,0.147965,0.008279,0.29593,0.13968599999999998,0.156244,4,2,428,120,0.424174,0.254504,0.085852,49400,49400,510,510,510,510,0.43467,0.43467,100,100,0.509008,0.43467,510,510,1
4,616,14.72039,1.180464,1.669428,3.541392,0.0,3.541392,4,0,616,0,0.203799,0.203799,0.0,10816,51268,80,350,350,350,0.339665,0.238465,100,16,0.27173200000000003,0.238465,266,32,1
7,420,12.125694,2.686729,1.899805,8.060186,0.0,4.032041,7,0,420,0,0.494817,0.494817,0.0,26040,42000,434,700,700,700,0.577287,0.576612,100,62,0.577287,0.576612,700,434,1
9,540,14.937775,3.464767,0.563963,10.3943,2.75727,4.1373690000000005,9,0,540,0,0.535555,0.535555,0.0,58020,58020,967,967,967,967,0.647352,0.647352,100,100,0.602499,0.647352,967,967,1
3,274,0.222671,0.222671,0.0,0.222671,0.222671,0.222671,2,1,214,60,8.981861,4.490931,0.0,27040,27040,294,294,294,294,12.7727,12.7727,100,100,13.4728,12.7727,291,291,1
4,616,14.569903,4.146797,0.101438,8.293594,4.0453589999999995,4.248235,4,0,616,0,0.205904,0.205904,0.0,67600,67600,500,500,500,500,0.343225,0.343225,100,100,0.274539,0.343225,200,200,1
6,360,12.643136,2.870047,2.039167,8.610141,0.0,4.548841,6,0,360,0,0.395472,0.395472,0.0,36000,36000,600,600,600,600,0.474696,0.474696,100,100,0.474566,0.474696,600,600,1
5,770,14.242404999999998,2.3923330000000003,1.6969169999999998,7.1770000000000005,0.0,3.75235,5,0,770,0,0.280851,0.280851,0.0,57410,75412,385,508,508,508,0.3703,0.376858,100,73,0.351064,0.376858,403,315,1
5,770,13.695099,2.417836,1.709802,7.253507000000001,0.0,3.652944,5,0,770,0,0.292075,0.292075,0.0,77000,77000,500,500,500,500,0.365147,0.365147,100,100,0.365094,0.365147,500,500,1
7,420,12.380992,2.740611,1.938284,8.221832000000001,0.0,4.15794,7,0,420,0,0.484614,0.484614,0.0,25740,40860,429,681,681,681,0.541405,0.552588,100,64,0.565383,0.552588,681,429,1
5,770,13.103145,2.236936,1.585632,6.7108089999999985,0.0,3.49117,5,0,770,0,0.30527,0.30527,0.0,77000,77000,500,500,500,500,0.381584,0.381584,100,100,0.381588,0.381584,500,500,1
6,360,10.960654,4.459577,0.425563,8.919153,4.0340110000000005,4.885142,6,0,360,0,0.4561770000000001,0.4561770000000001,0.0,7200,36000,120,600,600,600,0.547413,0.5490109999999999,100,20,0.547413,0.5490109999999999,600,120,1
11,660,13.483234,3.5880690000000004,0.74888,10.764207,2.529143,4.133054,11,0,660,0,0.741662,0.741662,0.0,66000,66000,1100,1100,1100,1100,0.8158270000000001,0.8158270000000001,100,100,0.815828,0.8158270000000001,1100,1100,1
5,770,38.688046,0.0,0.0,0.0,0.0,0.0,5,0,770,0,0.103391,0.103391,0.0,26950,59980,175,420,420,420,0.12923900000000002,0.160288,100,35,0.12923900000000002,0.160288,295,175,1
8,480,14.338361,3.429694,0.90408,10.289082,2.151136,4.071634,8,0,480,0,0.488201,0.488201,0.0,11040,75720,184,1262,1262,1262,0.557944,0.951772,100,23,0.557944,0.951772,1262,184,1
9,1010,14.308001,3.5660190000000003,0.057049,10.698057,3.493721,3.633193,7,2,890,120,0.559128,0.419346,0.09247,45230,90542,417,815,815,815,0.678768,0.650871,100,43,0.629019,0.650871,815,417,1
7,420,12.132312,2.683432,1.897473,8.050297,0.0,4.02588,7,0,420,0,0.494547,0.494547,0.0,38640,42000,644,700,700,700,0.576972,0.576869,100,92,0.576972,0.576869,700,644,1
15,900,13.656577,3.907986,1.37074,11.723957,1.969472,4.881115,15,0,900,0,1.025147,1.025147,0.0,64800,82620,1080,1377,1377,1377,1.08333,1.00732,100,73,1.09837,1.00732,1377,1080,1
12,720,14.410973,4.023621,0.823074,12.070864,2.986357,4.9996800000000015,12,0,720,0,0.763307,0.763307,0.0,71280,71880,1188,1198,1198,1198,0.832699,0.831017,100,99,0.832699,0.831017,1198,1188,1
7,890,44.238541,0.054333000000000006,0.108667,0.271667,0.0,0.271667,6,1,830,60,0.135628,0.113024,0.0,94760,94760,796,796,796,796,0.180306,0.180306,100,100,0.15823299999999998,0.180306,538,538,1
11,660,13.784348,3.680428,0.644763,11.041283,2.769531,4.1716370000000005,11,0,660,0,0.725461,0.725461,0.0,66000,66000,1100,1100,1100,1100,0.798006,0.798006,100,100,0.798007,0.798006,1100,1100,1
8,480,14.275212,3.384786,0.993445,10.154357,1.980316,4.1186120000000015,8,0,480,0,0.49036,0.49036,0.0,48000,48000,800,800,800,800,0.5603819999999999,0.5603819999999999,100,100,0.560412,0.5603819999999999,800,800,1
11,660,13.795612,3.683287,0.6462760000000001,11.04986,2.770239,4.175393,11,0,660,0,0.7248680000000001,0.7248680000000001,0.0,64740,64740,1079,1079,1079,1079,0.798783,0.798783,100,100,0.797355,0.798783,1079,1079,1
4,616,14.677647,1.173074,1.6589779999999998,3.519223,0.0,3.519223,4,0,616,0,0.204392,0.204392,0.0,28952,53438,188,347,347,347,0.272523,0.2361,100,47,0.272523,0.2361,347,188,1
5,770,12.18546,1.968054,1.392267,5.904163,0.0,3.003874,5,0,770,0,0.32826,0.32826,0.0,40810,73482,265,515,515,515,0.410324,0.4394020000000001,100,53,0.410325,0.4394020000000001,329,265,1
5,770,14.143716,2.38882,1.6892900000000002,7.166459,0.0,3.609845,5,0,770,0,0.28281100000000003,0.28281100000000003,0.0,69300,78540,450,510,510,510,0.35349,0.35885,100,90,0.353514,0.35885,510,450,1
10,1164,14.909497,2.301571,1.330099,9.206284,0.0,3.15638,8,2,1044,120,0.603642,0.469499,0.165311,40740,90790,350,675,675,675,0.670976,0.496178,100,35,0.670713,0.496178,350,350,1
7,420,12.131563,2.686249,1.899465,8.058746000000001,0.0,4.030221,7,0,420,0,0.494578,0.494578,0.0,15540,72240,259,1204,1204,1204,0.5770069999999999,0.919423,100,37,0.5770069999999999,0.919423,1204,259,1
6,736,11.915017,4.019396,0.102039,8.038793,3.917362,4.1214309999999985,5,1,676,60,0.419639,0.33571100000000004,0.0,79960,79960,706,706,706,706,0.586792,0.586792,100,100,0.503566,0.586792,686,686,1
8,480,14.411826,3.427223,0.994041,10.281671,2.021945,4.162531,8,0,480,0,0.485712,0.485712,0.0,12000,60960,200,1016,1016,1016,0.5551,0.727416,100,25,0.5551,0.727416,1016,200,1
5,770,14.143839000000002,2.394614,1.6933169999999995,7.183841,0.0,3.610668,5,0,770,0,0.28280900000000003,0.28280900000000003,0.0,38500,69300,250,450,450,450,0.353496,0.356043,100,50,0.353511,0.356043,450,250,1
1,154,0.0,0.0,0.0,0.0,0.0,0.0,1,0,154,0,0.0,0.0,0.0,2618,24640,17,254,254,254,0.0,12.1155,100,17,0.0,12.1155,23,17,1
5,770,13.795816,2.439339,1.7256619999999998,7.318017999999999,0.0,3.722918,5,0,770,0,0.289943,0.289943,0.0,54670,77240,355,504,504,504,0.362429,0.35826,100,71,0.362429,0.35826,490,355,1
5,770,12.382364,2.009895,1.422397,6.029685,0.0,3.085998,5,0,770,0,0.32304,0.32304,0.0,77000,77000,500,500,500,500,0.403778,0.403778,100,100,0.4038,0.403778,500,500,1
8,480,14.263202,3.3994800000000005,0.972236,10.198441,2.024673,4.103977,8,0,480,0,0.490773,0.490773,0.0,47520,48360,792,806,806,806,0.560884,0.5652119999999999,100,99,0.560884,0.5652119999999999,806,792,1
15,900,13.718723,3.904045,1.508798,11.712135,1.770502,4.997285,15,0,900,0,1.0205030000000002,1.0205030000000002,0.0,90000,90000,1500,1500,1500,1500,1.09338,1.09338,100,100,1.0934,1.09338,1500,1500,1
5,770,14.735732999999998,2.6425549999999998,1.9014259999999998,7.927664999999999,0.0,4.394886,5,0,770,0,0.271449,0.271449,0.0,77000,77000,500,500,500,500,0.3393,0.3393,100,100,0.33931100000000003,0.3393,500,500,1
7,890,14.538041,2.605442,1.8582490000000005,7.816325,0.0,4.205469,6,1,830,60,0.41271,0.343925,0.0,71840,78344,508,560,560,560,0.397165,0.385869,100,88,0.481495,0.385869,278,238,1
8,1044,45.79533,0.048326,0.10806,0.289956,0.0,0.289956,7,1,984,60,0.152854,0.131018,0.0,95520,101680,746,786,786,786,0.180999,0.173014,100,90,0.17469,0.173014,530,530,1
15,900,13.748522,3.930103,0.885249,11.79031,2.802519,4.9649730000000005,15,0,900,0,1.018291,1.018291,0.0,39600,76440,660,1274,1274,1274,1.09103,0.929778,100,44,1.09103,0.929778,1274,660,1
11,660,13.721908,3.669042,0.6449739999999999,11.007126,2.75748,4.152739,11,0,660,0,0.728762,0.728762,0.0,35400,54480,590,908,908,908,0.781888,0.6500060000000001,100,55,0.801638,0.6500060000000001,908,590,1
10,1164,16.977871,3.5107559999999998,0.326421,10.532267,3.070223,3.850489,8,2,1044,120,0.5301020000000001,0.41230100000000003,0.14131,15540,96470,118,801,801,801,0.463348,0.5314220000000001,100,15,0.589002,0.5314220000000001,672,94,1
8,480,14.193519,3.382304,0.951317,10.146912,2.0369490000000003,4.059842,8,0,480,0,0.493183,0.493183,0.0,47520,48420,792,807,807,807,0.5636369999999999,0.568779,100,99,0.563638,0.568779,807,792,1
4,428,10.497889,0.079635,0.079635,0.159269,0.0,0.159269,3,1,368,60,0.285772,0.190515,0.0,41344,41652,382,384,384,384,0.371309,0.373253,100,98,0.381029,0.373253,372,372,1
14,840,13.851497,3.624207,0.94962,10.872622,2.896092,4.965533,14,0,840,0,0.938527,0.938527,0.0,52920,77340,882,1289,1289,1289,1.01072,0.933919,100,63,1.01072,0.933919,1289,882,1
11,660,13.796592,3.684549,0.6448010000000001,11.053646,2.773263,4.168845,11,0,660,0,0.724817,0.724817,0.0,25080,51120,418,852,852,852,0.797226,0.659338,100,38,0.797298,0.659338,852,418,1
11,660,13.70887,3.657176,0.639518,10.971527,2.75276,4.110125,11,0,660,0,0.729455,0.729455,0.0,66000,66000,1100,1100,1100,1100,0.802452,0.802452,100,100,0.8024,0.802452,1100,1100,1
6,736,14.535548,2.751707,1.9472080000000003,8.255121,0.0,4.219824,5,1,676,60,0.343984,0.275187,0.0,73840,73840,604,604,604,604,0.412631,0.412631,100,100,0.41278100000000006,0.412631,604,604,1
6,360,12.22639,4.048733,0.018661,8.097466,4.030124,4.067342,6,0,360,0,0.408951,0.408951,0.0,41520,41520,692,692,692,692,0.566034,0.566034,100,100,0.490742,0.566034,692,692,1
8,480,14.269948,3.404897,0.973989,10.214692,2.027741,4.11718,8,0,480,0,0.490541,0.490541,0.0,48000,48000,800,800,800,800,0.56057,0.56057,100,100,0.560619,0.56057,800,800,1
6,360,12.935249,2.954398,2.110778,8.863195,0.0,4.80136,6,0,360,0,0.386541,0.386541,0.0,36000,36000,600,600,600,600,0.463858,0.463858,100,100,0.463849,0.463858,600,600,1
9,540,12.092074,3.109854,1.232926,9.329563,1.3765889999999998,4.140814,9,0,540,0,0.66159,0.66159,0.0,54000,54000,900,900,900,900,0.744259,0.744259,100,100,0.744289,0.744259,900,900,1
14,840,15.506652,4.3392230000000005,0.462484,13.017669,3.993441,4.9929120000000005,14,0,840,0,0.83835,0.83835,0.0,84000,84000,1400,1400,1400,1400,0.902857,0.902857,100,100,0.902838,0.902857,1400,1400,1
13,1344,46.00127,0.150918,0.108763,0.905505,0.0,0.25064699999999995,9,4,1104,240,0.260862,0.17460499999999998,0.065216,91212,105964,787,895,895,895,0.220059,0.202601,100,78,0.28260100000000005,0.202601,847,787,1
9,540,12.496105,3.244451,1.326844,9.733352,1.368592,4.222883,9,0,540,0,0.640199,0.640199,0.0,26460,44820,441,747,747,747,0.720224,0.6070220000000001,100,49,0.720224,0.6070220000000001,747,441,1
4,428,11.659401,0.087573,0.087573,0.175145,0.0,0.175145,3,1,368,60,0.257303,0.171535,0.0,44240,44240,424,424,424,424,0.364694,0.364694,100,100,0.343071,0.364694,400,400,1
9,540,11.587734,2.939465,2.091051,8.818394,0.0,4.689199,9,0,540,0,0.690385,0.690385,0.0,54000,54000,900,900,900,900,0.776684,0.776684,100,100,0.776683,0.776684,900,900,1
11,660,13.799220000000002,3.682167,0.6456310000000001,11.0465,2.769954,4.172371,11,0,660,0,0.724679,0.724679,0.0,66000,66000,1100,1100,1100,1100,0.797147,0.797147,100,100,0.797146,0.797147,1100,1100,1
2,308,9.96839,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.100317,0.100317,0.0,26180,32600,170,230,230,230,0.200563,0.224037,100,85,0.200634,0.224037,170,170,1
13,780,12.677346,3.253191,1.6533509999999998,9.759572,0.983497,4.874578,13,0,780,0,0.94657,0.94657,0.0,83160,83160,1386,1386,1386,1386,1.02507,1.02507,100,100,1.02545,1.02507,1386,1386,1
4,428,11.81129,0.056123,0.056123,0.112245,0.0,0.112245,3,1,368,60,0.253994,0.16933,0.0,38520,43140,360,390,390,390,0.33875700000000003,0.322035,100,90,0.338659,0.322035,360,360,1
13,780,14.30323,4.009585,0.019055,12.028755,3.989955,4.035389,13,0,780,0,0.8389709999999999,0.8389709999999999,0.0,60840,70080,1014,1168,1168,1168,0.908892,0.805964,100,78,0.908886,0.805964,1168,1014,1
11,660,13.707731,3.654186,0.6340859999999999,10.962559,2.757454,4.103013,11,0,660,0,0.7295149999999999,0.7295149999999999,0.0,66000,66000,1100,1100,1100,1100,0.802484,0.802484,100,100,0.802467,0.802484,1100,1100,1
8,480,14.176957000000002,3.37753,0.976178,10.132591,1.997006,4.068442,8,0,480,0,0.493759,0.493759,0.0,44640,49260,744,821,821,821,0.564296,0.580544,100,93,0.564296,0.580544,821,744,1
9,540,14.773862,3.436291,0.567196,10.308873,2.756555,4.144988,9,0,540,0,0.541497,0.541497,0.0,53700,54540,895,909,909,909,0.618163,0.61503,100,98,0.6091840000000001,0.61503,909,895,1
7,420,15.154386,2.695734,1.906229,8.087203,0.0,4.061693,7,0,420,0,0.395925,0.395925,0.0,28440,53400,474,890,890,890,0.459997,0.597416,100,68,0.461912,0.597416,890,474,1
8,480,14.257775,3.402467,0.972902,10.207402,2.026811,4.112303,8,0,480,0,0.4909600000000001,0.4909600000000001,0.0,47340,47340,789,789,789,789,0.553316,0.553316,100,100,0.5610970000000001,0.553316,789,789,1
7,890,14.154474,2.448674,1.73312,7.346024000000001,0.0,3.765506,6,1,830,60,0.423894,0.353245,0.0,22250,84560,175,626,626,626,0.494543,0.472457,100,25,0.494543,0.472457,441,175,1
7,890,15.739323,2.69523,1.91306,8.08569,0.0,4.246554,6,1,830,60,0.381211,0.317676,0.0,61780,77796,450,554,554,554,0.386369,0.35925,100,74,0.444746,0.35925,280,280,1
6,548,13.807284,2.3578810000000003,2.1311400000000003,4.715762000000002,0.226741,4.489021,4,2,428,120,0.362128,0.217277,0.107316,58792,58792,560,560,560,560,0.403838,0.403838,100,100,0.434553,0.403838,560,560,1
5,770,12.40677,2.0140860000000003,1.424848,6.042259,0.0,3.074792,5,0,770,0,0.322405,0.322405,0.0,77000,77000,500,500,500,500,0.40302,0.40302,100,100,0.403006,0.40302,500,500,1
6,736,39.577976,0.07217,0.125002,0.288679,0.0,0.288679,5,1,676,60,0.126333,0.101066,0.0,68800,68800,520,520,520,520,0.13138699999999998,0.13138699999999998,100,100,0.151599,0.13138699999999998,360,360,1
11,660,13.711394,3.659405000000001,0.63425,10.978216,2.76245,4.1112980000000015,11,0,660,0,0.72932,0.72932,0.0,55200,61500,920,1025,1025,1025,0.7892899999999999,0.76041,100,85,0.8022520000000001,0.76041,1025,920,1
4,616,11.139897,3.652504,0.1515,7.305008,3.501004,3.804004,4,0,616,0,0.269302,0.269302,0.0,61600,61600,400,400,400,400,0.35907100000000003,0.35907100000000003,100,100,0.35907,0.35907100000000003,400,400,1
6,924,16.933613,3.35489,0.299587,10.064671,2.936345,3.621124,6,0,924,0,0.295271,0.295271,0.0,92400,92400,600,600,600,600,0.354325,0.354325,100,100,0.354325,0.354325,600,600,1
7,420,12.221537,2.72348,1.925798,8.170441,0.0,4.091421,7,0,420,0,0.490937,0.490937,0.0,7980,42000,133,700,700,700,0.572759,0.566652,100,19,0.572759,0.566652,700,133,1
7,890,38.681789,0.054073,0.108146,0.270365,0.0,0.270365,6,1,830,60,0.155112,0.12926,0.0,46210,78906,355,643,643,643,0.17318699999999998,0.181441,100,53,0.180964,0.181441,555,315,1
7,890,14.116572,2.416398,1.7093459999999998,7.2491949999999985,0.0,3.684244,6,1,830,60,0.425032,0.354194,0.0,77460,85540,586,658,658,658,0.461242,0.476409,100,90,0.495871,0.476409,503,431,1
7,420,12.131066,2.686696,1.899781,8.060088,0.0,4.031632,7,0,420,0,0.494598,0.494598,0.0,42000,42000,700,700,700,700,0.57708,0.57708,100,100,0.5770310000000001,0.57708,700,700,1
1,154,0.0,0.0,0.0,0.0,0.0,0.0,1,0,154,0,0.0,0.0,0.0,13398,15400,87,100,100,100,0.0,0.0,100,87,0.0,0.0,100,87,1
2,308,11.529756,0.0,0.0,0.0,0.0,0.0,2,0,308,0,0.086732,0.086732,0.0,5852,43138,38,285,285,285,0.173464,0.204507,100,19,0.173464,0.204507,269,38,1
6,360,10.496614,4.230388,0.167487,8.460775,4.062895,4.397880000000002,6,0,360,0,0.4763439999999999,0.4763439999999999,0.0,14760,36000,246,600,600,600,0.571613,0.573693,100,41,0.571613,0.573693,600,246,1
5,770,12.545436,2.151251,1.524128,6.453754,0.0,3.343231,5,0,770,0,0.318841,0.318841,0.0,77000,77000,500,500,500,500,0.398541,0.398541,100,100,0.398551,0.398541,500,500,1
6,360,10.325492,4.1521,0.126475,8.304199,4.025633,4.278567,6,0,360,0,0.484238,0.484238,0.0,30600,36000,510,600,600,600,0.581086,0.580545,100,85,0.581086,0.580545,600,510,1
6,360,13.035512,2.989863,2.1417040000000003,8.969589,0.0,4.904181,6,0,360,0,0.383568,0.383568,0.0,11520,39660,192,661,661,661,0.446333,0.460427,100,33,0.4602810000000001,0.460427,661,192,1
15,900,13.966673000000002,3.989485,0.815589,11.968455,2.989698,4.9874730000000005,15,0,900,0,1.002386,1.002386,0.0,90000,90000,1500,1500,1500,1500,1.07398,1.07398,100,100,1.07399,1.07398,1500,1500,1
8,480,14.198214000000002,3.385182,0.952304,10.155546,2.038423,4.061019,8,0,480,0,0.49302,0.49302,0.0,48000,48000,800,800,800,800,0.563369,0.563369,100,100,0.563451,0.563369,800,800,1
7,890,12.879178,3.237055,0.10331400000000003,9.711165,3.1416880000000003,3.3806,6,1,830,60,0.465868,0.388224,0.0,86600,86600,660,660,660,660,0.512369,0.512369,100,100,0.543513,0.512369,560,560,1
6,360,10.899172,4.4333540000000005,0.391385,8.866709,4.04197,4.824739,6,0,360,0,0.45875,0.45875,0.0,36000,36000,600,600,600,600,0.550528,0.550528,100,100,0.550501,0.550528,600,600,1
6,736,11.910453,4.0193,0.110146,8.038601,3.909155,4.129446,5,1,676,60,0.419799,0.335839,0.0,64720,64720,452,452,452,452,0.379187,0.379187,100,100,0.5037590000000001,0.379187,156,156,1
7,420,12.13212,2.683322,1.897395,8.049966,0.0,4.025445,7,0,420,0,0.494555,0.494555,0.0,36960,44160,616,736,736,736,0.5769810000000001,0.6054069999999999,100,88,0.5769810000000001,0.6054069999999999,736,616,1
14,840,15.418559,4.464903,0.702102,13.394709,3.4723620000000004,4.9850650000000005,14,0,840,0,0.84314,0.84314,0.0,62760,80160,1046,1336,1336,1336,0.955497,0.898018,100,71,0.907997,0.898018,1336,1046,1
6,736,43.264126,0.057127,0.098947,0.228509,0.0,0.228509,5,1,676,60,0.115569,0.092455,0.0,69816,73376,562,590,590,590,0.135269,0.136205,100,96,0.138683,0.136205,590,562,1
11,660,13.520013,3.602097,0.731653,10.806291,2.5675630000000003,4.1359629999999985,11,0,660,0,0.739644,0.739644,0.0,40920,59160,682,986,986,986,0.813609,0.714328,100,62,0.813609,0.714328,986,682,1
3,462,14.668537,2.194056,2.194056,4.388111,0.0,4.388111,3,0,462,0,0.136346,0.136346,0.0,55200,55200,450,450,450,450,0.304806,0.304806,100,100,0.204519,0.304806,75,75,1
7,890,13.374679,3.283035,0.235291,9.849104,2.966091,3.529268,6,1,830,60,0.448609,0.373841,0.0,79210,89946,623,733,733,733,0.523381,0.553313,100,89,0.5233770000000001,0.553313,733,623,1
14,840,12.923765,3.640793,1.879307,10.922379,0.983072,4.978719,14,0,840,0,1.005899,1.005899,0.0,41160,65640,686,1094,1094,1094,1.08328,0.7945270000000001,100,49,1.08328,0.7945270000000001,1094,686,1
15,900,13.660747,3.910215,1.366492,11.730644,1.977723,4.883879,15,0,900,0,1.024834,1.024834,0.0,90000,90000,1500,1500,1500,1500,1.09801,1.09801,100,100,1.09804,1.09801,1500,1500,1
6,736,44.649872,0.08093600000000001,0.14018599999999998,0.323746,0.0,0.323746,5,1,676,60,0.111982,0.089586,0.0,71800,71800,570,570,570,570,0.128171,0.128171,100,100,0.134379,0.128171,478,478,1
7,420,12.22536,2.717423,1.921526,8.152269,0.0,4.086076,7,0,420,0,0.490783,0.490783,0.0,33600,42000,560,700,700,700,0.57265,0.571187,100,80,0.57258,0.571187,700,560,1
5,770,14.690944,2.618309,1.891257,7.854926,0.0,4.40035,5,0,770,0,0.272277,0.272277,0.0,77000,77000,500,500,500,500,0.34028600000000003,0.34028600000000003,100,100,0.340346,0.34028600000000003,500,500,1
8,856,11.485956,2.6167290000000003,1.696244,7.8501850000000015,0.225768,3.980576,6,2,736,120,0.60944,0.435314,0.087063,42112,81040,376,724,724,724,0.634069,0.689134,100,52,0.696503,0.689134,724,376,1
4,428,8.796164,0.001837,0.001837,0.003674,0.0,0.003674,3,1,368,60,0.341058,0.227372,0.0,49520,49520,512,512,512,512,0.5747869999999999,0.5747869999999999,100,100,0.454744,0.5747869999999999,512,512,1
7,420,12.220981,2.716625,1.920976,8.149875999999999,0.0,4.088472,7,0,420,0,0.490959,0.490959,0.0,15120,40860,252,681,681,681,0.5727270000000001,0.552588,100,36,0.572785,0.552588,681,252,1
7,890,12.590703,3.152043,0.14565699999999998,9.45613,3.008607,3.3517980000000005,6,1,830,60,0.476542,0.397118,0.0,35100,72508,256,516,516,516,0.484107,0.43542,100,42,0.555966,0.43542,245,161,1
6,736,11.488092,3.794880000000001,0.13888599999999998,7.589760000000001,3.655994,3.933766,5,1,676,60,0.435233,0.348187,0.0,71080,71080,558,558,558,558,0.488284,0.488284,100,100,0.52228,0.488284,474,474,1
1,154,0.0,0.0,0.0,0.0,0.0,0.0,1,0,154,0,0.0,0.0,0.0,14322,16240,93,114,114,114,0.0,47.7148,100,93,0.0,47.7148,93,93,1
7,420,12.15686,2.702916,1.911253,8.108749000000001,0.0,4.058106,7,0,420,0,0.4935479999999999,0.4935479999999999,0.0,42000,42000,700,700,700,700,0.575806,0.575806,100,100,0.575807,0.575806,700,700,1
7,420,15.166997,2.6959310000000003,1.906368,8.087792,0.0,4.061989,7,0,420,0,0.395596,0.395596,0.0,25200,42000,420,700,700,700,0.461529,0.460551,100,60,0.461528,0.460551,700,420,1
6,736,14.562643,4.114578,0.080363,8.229156,4.034203,4.194953,5,1,676,60,0.343344,0.274675,0.0,73120,73120,592,592,592,592,0.407325,0.407325,100,100,0.412013,0.407325,492,492,1
4,616,14.538961,4.1246269999999985,0.100338,8.249253999999999,4.024289,4.224965,4,0,616,0,0.206342,0.206342,0.0,61600,61600,400,400,400,400,0.275032,0.275032,100,100,0.275123,0.275032,400,400,1
6,548,10.250964,0.151549,0.060818,0.303097,0.09073,0.212367,4,2,428,120,0.487759,0.292655,0.097552,50000,50000,520,520,520,520,0.509917,0.509917,100,100,0.5853109999999999,0.509917,520,520,1
7,890,14.703802,2.668982,1.912468,8.006946000000001,0.0,4.382549,6,1,830,60,0.408058,0.340048,0.0,89120,89120,702,702,702,702,0.4774270000000001,0.4774270000000001,100,100,0.476067,0.4774270000000001,702,702,1
10,600,15.055670999999998,3.934161,0.318228,11.802483,3.484665,4.1781,10,0,600,0,0.597781,0.597781,0.0,58620,58620,977,977,977,977,0.648924,0.648924,100,100,0.6642020000000001,0.648924,977,977,1
10,1164,17.154922,2.673794,1.439577,10.695177,0.183489,3.596345,8,2,1044,120,0.5246310000000001,0.408046,0.058292,121440,121440,1084,1084,1084,1084,0.633292,0.633292,100,100,0.582923,0.633292,1084,1084,1
